"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test with steps","This will create new store","SUCCESS","2022-01-10T16:13:09.586Z[Europe/London]","0.0","6.11"
"Products CRUD test with steps","This will create new product","SUCCESS","2022-01-10T16:13:09.592Z[Europe/London]","0.0","6.25"
"Stores CRUD test with steps","This will create new store","SUCCESS","2022-01-10T16:13:09.624Z[Europe/London]","0.0","5.96"
"Stores CRUD test with steps","Verify if the strore was created in application","SUCCESS","2022-01-10T16:13:15.609Z[Europe/London]","0.0","0.76"
"Categories CRUD test with steps","Verify if the Category was created in application","SUCCESS","2022-01-10T16:13:15.680Z[Europe/London]","0.0","0.67"
"Services CRUD test with steps","Verify if the services is created","SUCCESS","2022-01-10T16:13:15.723Z[Europe/London]","0.0","0.66"
"Products CRUD test with steps","Verify if the product was added to the application","SUCCESS","2022-01-10T16:13:15.940Z[Europe/London]","0.0","1.46"
"Categories CRUD test with steps","Update Category information and verify the updated information","SUCCESS","2022-01-10T16:13:16.348Z[Europe/London]","0.0","0.75"
"Stores CRUD test with steps","Update store information and verify the updated information","SUCCESS","2022-01-10T16:13:16.371Z[Europe/London]","0.0","0.79"
"Services CRUD test with steps","Update Service information and verify the updated information","SUCCESS","2022-01-10T16:13:16.391Z[Europe/London]","0.0","0.7"
"Services CRUD test with steps","Delete Service and verify if the Service is deleted","SUCCESS","2022-01-10T16:13:17.096Z[Europe/London]","0.0","0.63"
"Categories CRUD test with steps","Delete Category and verify if the Category is deleted","SUCCESS","2022-01-10T16:13:17.109Z[Europe/London]","0.0","0.6"
"Stores CRUD test with steps","Delete store and verify if the product is deleted","SUCCESS","2022-01-10T16:13:17.160Z[Europe/London]","0.0","0.57"
"Products CRUD test with steps","Update product information and verify the updated information","SUCCESS","2022-01-10T16:13:17.401Z[Europe/London]","0.0","0.53"
"Products CRUD test with steps","Delete product and verify if the product is deleted","SUCCESS","2022-01-10T16:13:17.929Z[Europe/London]","0.0","0.07"
